dia;estaci;nivell_absolut;percentatge_volum_embassat;volum_embassat
2025-03-02T00:00:00.000;Embassament de Riudecanyes;205.43;24;1.28
2025-03-01T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.08;92.8;3.47
2025-03-01T00:00:00.000;Embassament de Sau (Vilanova de Sau);379.24;6.5;10.7
2025-03-01T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);520.98;55.5;13.53
2025-03-01T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.64;33.4;26.71
2025-03-01T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.8;16.8;10.24
2025-03-01T00:00:00.000;Embassament de Riudecanyes;205.43;24;1.28
2025-03-01T00:00:00.000;Embassament de Susqueda (Osor);317.85;38.6;89.83
2025-03-01T00:00:00.000;Embassament de la Baells (Cercs);613.29;54;59.04
2025-03-01T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.94;9.3;1.14
2025-02-28T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.95;9.3;1.14
2025-02-28T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);520.97;55.5;13.52
2025-02-28T00:00:00.000;Embassament de Sau (Vilanova de Sau);379.09;6.3;10.48
2025-02-28T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.8;16.8;10.24
2025-02-28T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.61;33.3;26.67
2025-02-28T00:00:00.000;Embassament de Susqueda (Osor);317.92;38.6;90.04
2025-02-28T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.09;92.9;3.47
2025-02-28T00:00:00.000;Embassament de Riudecanyes;205.42;24;1.28
2025-02-28T00:00:00.000;Embassament de la Baells (Cercs);613.32;54;59.12
2025-02-27T00:00:00.000;Embassament de Riudecanyes;205.42;24;1.27
2025-02-27T00:00:00.000;Embassament de la Baells (Cercs);613.36;54.1;59.2
2025-02-27T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.09;92.9;3.47
2025-02-27T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.95;9.4;1.14
2025-02-27T00:00:00.000;Embassament de Sau (Vilanova de Sau);378.97;6.2;10.29
2025-02-27T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);520.97;55.5;13.52
2025-02-27T00:00:00.000;Embassament de Susqueda (Osor);318.01;38.8;90.3
2025-02-27T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.61;33.3;26.67
2025-02-27T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.8;16.8;10.24
2025-02-26T00:00:00.000;Embassament de Susqueda (Osor);318.09;38.9;90.53
2025-02-26T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.6;33.3;26.67
2025-02-26T00:00:00.000;Embassament de la Baells (Cercs);613.39;54.2;59.28
2025-02-26T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);520.96;55.4;13.51
2025-02-26T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.09;93;3.48
2025-02-26T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.8;16.8;10.24
2025-02-26T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.96;9.4;1.14
2025-02-26T00:00:00.000;Embassament de Riudecanyes;205.42;24;1.27
2025-02-26T00:00:00.000;Embassament de Sau (Vilanova de Sau);378.8;6.1;10.05
2025-02-25T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);520.94;55.4;13.5
2025-02-25T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.59;33.3;26.65
2025-02-25T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.1;93.1;3.48
2025-02-25T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.8;16.8;10.24
2025-02-25T00:00:00.000;Embassament de Susqueda (Osor);318.17;39;90.78
2025-02-25T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.97;9.4;1.15
2025-02-25T00:00:00.000;Embassament de la Baells (Cercs);613.42;54.3;59.37
2025-02-25T00:00:00.000;Embassament de Sau (Vilanova de Sau);378.6;5.9;9.77
2025-02-25T00:00:00.000;Embassament de Riudecanyes;205.42;24;1.27
2025-02-24T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.98;9.4;1.15
2025-02-24T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.8;16.8;10.24
2025-02-24T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.58;33.3;26.64
2025-02-24T00:00:00.000;Embassament de Riudecanyes;205.42;24;1.27
2025-02-24T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.12;93.4;3.49
2025-02-24T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);520.92;55.3;13.48
2025-02-24T00:00:00.000;Embassament de la Baells (Cercs);613.45;54.3;59.43
2025-02-24T00:00:00.000;Embassament de Susqueda (Osor);318.26;39.1;91.03
2025-02-24T00:00:00.000;Embassament de Sau (Vilanova de Sau);378.46;5.8;9.56
2025-02-23T00:00:00.000;Embassament de Riudecanyes;205.42;23.9;1.27
2025-02-23T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);520.89;55.1;13.44
2025-02-23T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.98;9.4;1.15
2025-02-23T00:00:00.000;Embassament de Sau (Vilanova de Sau);378.31;5.7;9.35
2025-02-23T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.8;16.8;10.24
2025-02-23T00:00:00.000;Embassament de la Baells (Cercs);613.49;54.4;59.52
2025-02-23T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.56;33.3;26.61
2025-02-23T00:00:00.000;Embassament de Susqueda (Osor);318.33;39.2;91.25
2025-02-23T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.11;93.3;3.49
2025-02-22T00:00:00.000;Embassament de Susqueda (Osor);318.4;39.2;91.44
2025-02-22T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.8;16.8;10.24
2025-02-22T00:00:00.000;Embassament de Sau (Vilanova de Sau);378.14;5.5;9.11
2025-02-22T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.99;9.4;1.15
2025-02-22T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.52;33.2;26.57
2025-02-22T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.03;92;3.44
2025-02-22T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);520.82;54.9;13.38
2025-02-22T00:00:00.000;Embassament de la Baells (Cercs);613.52;54.5;59.59
2025-02-22T00:00:00.000;Embassament de Riudecanyes;205.41;23.9;1.27
2025-02-21T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.8;16.8;10.24
2025-02-21T00:00:00.000;Embassament de Susqueda (Osor);318.49;39.4;91.71
2025-02-21T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);520.82;54.9;13.38
2025-02-21T00:00:00.000;Embassament de Riudecanyes;205.4;23.9;1.27
2025-02-21T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);459.99;9.4;1.15
2025-02-21T00:00:00.000;Embassament de la Baells (Cercs);613.55;54.5;59.66
2025-02-21T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.51;33.2;26.56
2025-02-21T00:00:00.000;Embassament de Sau (Vilanova de Sau);378.07;5.4;9.01
2025-02-21T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.02;91.7;3.43
2025-02-20T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.83;16.8;10.27
2025-02-20T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);460;9.4;1.15
2025-02-20T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);520.82;54.9;13.38
2025-02-20T00:00:00.000;Embassament de Riudecanyes;205.4;23.9;1.27
2025-02-20T00:00:00.000;Embassament de la Baells (Cercs);613.58;54.6;59.74
2025-02-20T00:00:00.000;Embassament de Sau (Vilanova de Sau);378.05;5.4;8.99
2025-02-20T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.52;33.2;26.57
2025-02-20T00:00:00.000;Embassament de Susqueda (Osor);318.57;39.5;91.95
2025-02-20T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.02;91.7;3.43
2025-02-19T00:00:00.000;Embassament de la Baells (Cercs);613.61;54.7;59.82
2025-02-19T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);460;9.4;1.15
2025-02-19T00:00:00.000;Embassament de la Llosa del Cavall (Navès);779.53;33.2;26.58
2025-02-19T00:00:00.000;Embassament de Darnius Boadella (Darnius);135.83;16.8;10.27
2025-02-19T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);520.83;54.9;13.39
2025-02-19T00:00:00.000;Embassament de Sau (Vilanova de Sau);378.04;5.4;8.96
2025-02-19T00:00:00.000;Embassament de Susqueda (Osor);318.6;39.5;92.04
2025-02-19T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.02;91.8;3.43
2025-02-19T00:00:00.000;Embassament de Riudecanyes;205.4;23.9;1.27
